FECHA_CORTE;ITEM;NOMBRE_DEL_CLUB;DISCIPLINA_DEPORTIVA;CONDICION;N°_DE_RESOLUCION_INSCRIPCION_PRIMIGENIA;FECHA_DE_REGISTRO;OBSERVACIONES;;
20240229;1;CLUB DEPORTIVO CLUB TORTUGAS DE ACTIVIDADES SUBACUÁTICAS;ACTIVIDADES SUBACUATICAS;AFILIADO;050-DNCTD-RND-2005;21/03/2005; 273-DNCTD-RND-2021, Periodo del 09 de diciembre de 2019 al 08 de diciembre de 2021;;
20240229;2;CLUB DEPORTIVO ASOCIACIÓN PERUANA DE DEPORTES SUBMARINOS;ACTIVIDADES SUBACUATICAS;AFILIADO;151-DNCTD-RND-2005;22/07/2005;;;
20240229;3;CLUB RASCAPLAYAS DE ACTIVIDADES SUB-ACUÁTICAS;ACTIVIDADES SUBACUATICAS;AFILIADO;233-DNCTD-RND-2006;26/05/2006;"0211-2022-IPD-DNCTD/SRND. 
periodo del 14 de octubre del 2020 al 13 de octubre del 2022";;
20240229;4;CASINO NÁUTICO DE ANCÓN;ACTIVIDADES SUBACUATICAS;AFILIADO;409-DNCTD-RND-2006;31/08/2006;;;
20240229;5;CLUB DE REGATAS LIMA;ACTIVIDADES SUBACUATICAS;AFILIADO;0447-2022-IPD-DNCTD-SRND;26/07/2022;periodo 2022-2024 (fueron elegidos el 13 de marzo de 2022);;
20240229;6;ASIAMAR;ACTIVIDADES SUBACUATICAS;AFILIADO;323-DNCTD-RND-2008;13/08/2008;;;
20240229;7;CLUB DE PESCA SUBMARINA PUNTA ROCAS;ACTIVIDADES SUBACUATICAS;AFILIADO;509-DNCTD-RND-2008;19/12/2008; 0164-DNCTD-RND-2021, Periodo 15 de diciembre de 2020 al 14 de diciembre de 2023;;
20240229;8;ASOCIACIÓN CIVIL DEPORTIVA CLUB DE BUCEO NAUTILUS;ACTIVIDADES SUBACUATICAS;AFILIADO;137-DNCTD-RND-2009;16/03/2009;;;
20240229;9;ASOCIACIÓN INTERNACIONAL DE SOCORRISTAS ACUÁTICOS Y ACTIVIDADES SUB ACUÁTICAS WORLD AQUATIC SPORT W.A.S.;ACTIVIDADES SUBACUATICAS;AFILIADO;148-DNCTD-RND-2009;20/03/2009;;;
20240229;10;YACHT CLUB PUCUSANA;ACTIVIDADES SUBACUATICAS;AFILIADO;052-DINADAF-RND-2013;14/02/2013;;;
20240229;11;CLUB DEPORTIVO DE PESCA SUBMARINA Y ACTIVIDADES SUBACUÁTICAS LOBOS DE PUNTA DE COLES;ACTIVIDADES SUBACUATICAS;AFILIADO;169-DINADAF-RND-2013;22/07/2013;;;
20240229;12;CIRCOLO SPORTIVO ITALIANO-SOCIETA CANOTTIERI ITALIA;ACTIVIDADES SUBACUATICAS;AFILIADO;304-DINADAF-RND-2013;21/11/2013;"0736-2022-IPD-DNCTD/SRND.
período del 30 de mayo de 2022 hasta el 26 de mayo de 2024.";;
20240229;13;CLUB MOLLENDO DE PESCA SUBMARINA Y ACTIVIDADES SUB ACUATICAS;ACTIVIDADES SUBACUATICAS;AFILIADO;011-2022-IPD-DNCTD-SRND;17/01/2022;período 13 de abril de 2021 al 12 de abril de 2023;;
20240229;14;CLUB SUBACUATICO DE PUCUSANA;ACTIVIDADES SUBACUATICAS;AFILIADO;0312-2022-IPD-DNCTD-SRND;10/06/2022;periodo del 10 de febrero de 2022 al 09 de febrero de 2030;;
20240229;15;ASOCIACIÓN PERUANA DE VUELO LIBRE (APVL);AERODEPORTIVA;AFILIADO;284-DNCTD-RND-2008;14/07/2008;;;
20240229;16;ASOCIACIÓN PERUANA DE INSTRUCTORES DE PARAPENTE TANDEM;AERODEPORTIVA;AFILIADO;081-DINADAF-RND-2013;05/03/2013;;;
20240229;17;ASOCIACIÓN AERODEPORTIVA DE PARACAIDISMO Y DEPORTES EXTREMOS AFINES-XTREME SPORTS;AERODEPORTIVA;AFILIADO;450-DINADAF-RND-2016;19/08/2016;;;
20240229;18;ASOCIACIÓN AEROCLUB ALAS DEL MAR;AERODEPORTIVA;AFILIADO;088-DINADAF-RND-2017;08/02/2017;;;
20240229;19;ASOCIACIÓN AERODEPORTIVA DE AVIONES ULTRALIVIANOS DEL PERÚ;AERODEPORTIVA;AFILIADO;1164-DINADAF-RND-2017;12/10/2017;0305-DNCTD-RND-2021, Periodo 2021-2024;;
20240229;20;ASOCIACIÓN CIVIL AEROCLUB ALAS DEL VIENTO;AERODEPORTIVA;AFILIADO;0374-DNCTD-RND-2019;07/05/2019;;;
20240229;21;ASOCIACIÓN PERUANA AERODEPORTIVA DE ALA DELTA Y PARAPENTE;AERODEPORTIVA;AFILIADO;498-DNCTD-RND-2020;10/12/2020;Periodo 15 de noviembre de 2019 al 14 de noviembre de 2023;;
20240229;22;ASOCIACIÓN AERODEPORTIVA DE PARACAIDISMO DEL PERÚ PARACONDOR PERÚ;AERODEPORTIVA;AFILIADO;0335-DNCTD-RND-2021;25/05/2021;Periodo del 02 de noviembre del 2020 al 02 de noviembre del 2022;;
20240229;23;CLUB DEPORTIVO DEFENSOR ITE;AJEDREZ;AFILIADO;082-DNCTD-RND-2006;03/03/2006;;;
20240229;24;CLUB DEPORTIVO GRAU;AJEDREZ;AFILIADO;083-DNCTD-RND-2006;03/03/2006;;;
20240229;25;CLUB DEPORTIVO NUEVA TACNA;AJEDREZ;AFILIADO;084-DNCTD-RND-2006;03/03/2006;;;
20240229;26;CLUB DE REGATAS LIMA;AJEDREZ;AFILIADO;076-DNCTD-RND-2007;02/02/2007;0447-2022-IPD-DNCTD/SRND. periodo 2022-2024 (fueron elegidos el 13 de marzo de 2022);;
20240229;27;ASOCIACIÓN CLUB DEPORTIVO HURACÁN;AJEDREZ;AFILIADO;231-DNCTD-RND-2007;26/03/2007;;;
20240229;28;CLUB DEPORTIVO SOCIAL CULTURAL TITIKAKA;AJEDREZ;AFILIADO;347-DNCTD-RND-2007;10/05/2007;;;
20240229;29;CLUB DEPORTIVO SOCIEDAD DE TIRO MANUEL PINO PUNO18;AJEDREZ;AFILIADO;501-DNCTD-RND-2007;25/07/2007;;;
20240229;30;CLUB DEPORTIVO VALIENTES Y VENCEDORES V & V;AJEDREZ;AFILIADO;721-DNCTD-RND-2007;25/07/2007;;;
20240229;31;CLUB DEPORTIVO LA ALAMEDA;AJEDREZ;AFILIADO;722-DNCTD-RND-2007;25/10/2007;;;
20240229;32;CLUB DEPORTIVO REAL TACNA;AJEDREZ;AFILIADO;723-DNCTD-RND-2007;25/10/2007; 0391-DNCTD-RND-2021, Periodo 09 de mayo de 2021 al 09 de mayo de 2025;;
